Secao,Titulo,Descrição,Data
economia,"BCE não deve abandonar política monetária restritiva de modo prematuro, diz Olli Rehn","Integrante do conselho do Banco Central Europeu (BCE), Olli Rehn defendeu nesta sexta-feira, 21, que a instituição “não abandone” nem “saia de modo prematuro” da política monetária mais restritiva atual. Em ambiente de incerteza, ele disse ser “ainda mais importante que o normal” que as decisões de política monetária levem em conta a trajetória esperada […]",21/04/2023 11:49
economia,Oleoduto Cano Limon-Covenas da Colômbia é atacado pela nona vez neste ano,"BOGOTÁ (Reuters) – A suspensão das operações de bombeamento no oleoduto Cano Limon-Covenas, na Colômbia, será prolongada depois que um novo ataque a bomba danificou sua infraestrutura na província de Arauca, disse a empresa de transporte de petróleo Cenit. O ataque, o nono neste ano, ocorreu na quinta-feira no município de Saravena, levando a empresa […]",21/04/2023 11:18
economia,"Ucrânia tenta desbloquear acordo para embarque de grãos, mas Rússia ainda não aceita acordo","Por Luiza Ilie e Pavel Polityuk BUCARESTE/KIEV (Reuters) – As perspectivas da Ucrânia de desbloquear os embarques de grãos para a Europa Oriental melhoraram nesta sexta-feira, com a Romênia optando por não proibir unilateralmente as importações de alimentos, mas não houve progresso na extensão do acordo sobre as exportações do Mar Negro. O ministro das […]",21/04/2023 11:10
economia,"PMI composto (preliminar) dos EUA  sobe a 53,5 em abril, diz S&P Global","O índice de gerentes de compras (PMI, na sigla em inglês) composto dos Estados Unidos teve alta, de 52,3 em março a 53,5 na preliminar de abril, informou nesta sexta-feira, 21, a S&P Global, na máxima em 11 meses. Apena na indústria americana, o PMI avançou de 49,2 em março a 50,4 na prévia de […]",21/04/2023 11:02
economia,"Pacheco diz que arcabouço será aprovado, mas sugere que podem ser feitas mudanças","O presidente do Senado, Rodrigo Pacheco (PSD-MG), afirmou que o projeto do novo arcabouço fiscal encaminhado pelo governo ao Congresso está bem estruturado e que “será aprovado”. Em entrevista à CNN Brasil, o presidente do Senado disse que a essência do projeto agradou a maioria do Senado, mas disse, sem dar mais detalhes, que “eventuais […]",21/04/2023 10:28
economia,Alberto Fernández anuncia que não tentará reeleição na Argentina,"BUENOS AIRES (Reuters) – O presidente da Argentina, Alberto Fernández, anunciou nesta sexta-feira que desistiu de sua candidatura à reeleição nas eleições presidenciais de outubro. O anúncio foi feito numa mensagem publicada nas redes sociais, onde indicou que “entregará a faixa presidencial a quem tiver sido legitimamente eleito nas urnas pelo voto popular.” “Vou trabalhar […]",21/04/2023 10:25
economia,Suprema Corte dos EUA decide nesta sexta sobre pílulas abortivas,"Por Andrew Chung WASHINGTON (Reuters) – A Suprema Corte dos Estados Unidos está pronta para decidir se a pílula abortiva mifepristona continuará amplamente disponível no país, enquanto o país analisa uma oferta do governo do presidente democrata Joe Biden para defender a droga em um desafio à sua aprovação regulatória por grupos antiaborto. O tribunal […]",21/04/2023 10:19
economia,"‘Economia não gira em torno da Selic’, reforça Campos Neto em defesa da taxa de juros","O presidente do Banco Central (BC), Roberto Campos Neto, disse nesta sexta-feira, 21, que a economia não gira em torno da Selic. Ao ouvir de um empresário na Lide Brazil Conference que o elevado patamar da taxa de juros atrapalha o Brasil a crescer, Campos Neto respondeu que só 20% do crédito é ligado à […]",21/04/2023 10:07
economia,"Ritmo de aumento do nível do mar global dobrou, aponta relatório climático da ONU","Por Emma Farge GENEBRA (Reuters) – O nível global do mar está subindo mais do que o dobro do ritmo registrado na primeira década de medições, entre 1993 e 2002, e atingiu um novo recorde no ano passado, informou a Organização Meteorológica Mundial na sexta-feira, alertando que a tendência continuará por milênios. O degelo extremo […]",21/04/2023 09:58
economia,"Instalação da CPMI definitivamente não atrasa arcabouço fiscal, diz Pacheco","O presidente do Senado, Rodrigo Pacheco (PSD-MG), negou que a provável instalação da Comissão Parlamentar Mista de Inquérito (CPMI) sobre os atos golpistas de 8 de janeiro prejudique a tramitação do arcabouço fiscal ou da reforma tributária no Congresso. Pacheco afirmou que o requerimento para a instalação da CPMI será lido no plenário do Congresso […]",21/04/2023 09:58
economia,Campos Neto fala em Londres que BC trabalha em projeto para gerar avanço na indústria de fundos,"O presidente do Banco Central (BC), Roberto Campos Neto, disse nesta sexta-feira, 21, que a autoridade monetária está trabalhando em um projeto que visa a um avanço na indústria de fundos, como foi feito na indústria bancária. O banqueiro central fez essa afirmação ao responder uma pergunta da ex-ministra da Agricultura do governo Dilma, a […]",21/04/2023 09:51
economia,Campos Neto reforça ocorrência de inflação de demanda justificando atual patamar da Selic,"O presidente do Banco Central (BC), Roberto Campos Neto, reforçou nesta sexta-feira, 21, que há inflação de demanda no Brasil justificando o atual patamar da Selic. A situação fiscal do Pais é outro elemento entre as justificativas dos juros a 13,75% ao ano, segundo Campos Neto. O banqueiro central participou nesta sexta da Lide Brazil […]",21/04/2023 09:32
economia,Por que Lula escolheu Portugal e Espanha na primeira ida à Europa?,"Em sua primeira viagem oficial ao continente europeu neste mandato, presidente brasileiro irá somente à Península Ibérica, sem passar pelas potências Alemanha e França ou pela sede da UE, Bruxelas.",21/04/2023 09:31
economia,Campos Neto: BC sempre atuou de forma autônoma e elevou juro em ano de eleição presidencial,"O presidente do Banco Central (BC), Roberto Campos Neto, voltou mais uma vez a defender a autonomia da autoridade monetária. Durante participação no evento Lide Brazil Conference London, Campos Neto destacou que o timing da política monetária é diferente do timing da política e que é por isso que se faz necessária a autonomia formal […]",21/04/2023 09:10
economia,Rodrigo Pacheco volta a se dirigir a Campos Neto em Londres para pedir redução da taxa Selic,"O presidente do Senado Brasileiro, Rodrigo Pacheco (PSD-MG), voltou nesta sexta-feira, 21, a se dirigir ao presidente do Banco Central, Roberto Campos Neto, e pedir a redução da taxa básica de juros brasileira. Pacheco fez o pedido no seu discurso de abertura do segundo e último dia do evento Lide Brazil Conference London na capital […]",21/04/2023 09:07
economia,"PMI composto do Reino Unido sobe a 53,9 em abril, com avanço em serviços, diz S&P Global","O índice de gerentes de compras (PMI, na sigla em inglês) composto do Reino Unido, que engloba os setores industrial e de serviços, subiu de 52,2 em março para 53,9 em abril, atingindo o maior nível em 12 meses, segundo dados preliminares divulgados nesta sexta-feira, 21, pela S&P Global em parceria com a CIPS. O […]",21/04/2023 07:30
economia,Caça da Rússia bombardeia cidade no próprio país,"Explosão fere moradores, abre cratera de 20 metros e danifica carros e prédios em Belgorod, na fronteira com a Ucrânia. Avião supersônico “descarregou munição acidentalmente”, segundo Ministério da Defesa russo.",21/04/2023 07:28
economia,"Zona do euro: PMI composto avança a 54,4 em abril, sustentado por serviços, afirma S&P Global","O índice de gerentes de compras (PMI, na sigla em inglês) composto da zona do euro, que engloba os setores industrial e de serviços, subiu de 53,7 em março para 54,4 em abril, atingindo o maior nível em 11 meses, segundo dados preliminares divulgados nesta sexta-feira, 21, pela S&P Global. O resultado superou a expectativa […]",21/04/2023 07:27
economia,"PMI composto da Alemanha sobe a 53,9 em abril, graças a serviços, diz S&P Global","O índice de gerentes de compras (PMI, na sigla em inglês) composto da Alemanha, que engloba os setores industrial e de serviços, subiu de 52,6 em março para 53,9 em abril, atingindo o maior nível em 12 meses, segundo dados preliminares divulgados nesta sexta-feira, 21, pela S&P Global. O resultado superou a expectativa de analistas […]",21/04/2023 07:23
economia,"OMC, Banco Mundial e Fórum Econômico Mundial lançam iniciativa unindo comércio e clima","A Organização Mundial do Comércio (OMC), o Banco Mundial e o Fórum Econômico Mundial lançaram nesta quinta-feira (21) uma iniciativa conjunta, com o objetivo de fornecer análises personalizadas de comércio e crise climática. Nomeado “Ação sobre Clima e Comércio” (ACT), o projeto terá como foco ajudar economias em desenvolvimento a atingir metas de mitigação climática.",21/04/2023 07:10
economia,"Vendas no varejo do Reino Unido caem 0,9% em março ante fevereiro","As vendas no varejo do Reino Unido caíram 0,9% em março ante fevereiro, segundo dados publicados nesta sexta-feira, 21, pelo ONS, como é conhecido o órgão de estatísticas do país. O resultado ficou abaixo da expectativa de analistas consultados pelo The Wall Street Journal, que previam queda menor nas vendas do período, de 0,6%. Em […]",21/04/2023 07:05
economia,Aliados ponderam proibição quase total às exportações para a Rússia,"Alguns dos países aliados da Ucrânia, incluindo os EUA, estão considerando avançar para uma proibição quase total das exportações para a Rússia, num renovado esforço para pressionar economicamente o regime de Putin para colocar um ponto final à guerra. O G7 – grupo das principais economias do mundo – está discutindo a ideia nas vésperas […]",21/04/2023 03:21
economia,STF tem três votos para liberar retorno da contribuição sindical,"O Supremo Tribunal Federal (STF) começou a julgar um recurso para analisar a legalidade da extinção da obrigatoriedade da contribuição sindical, aprovada pelo Congresso na reforma trabalhista de 2017. O caso é analisado no plenário virtual da Corte desde sexta-feira (14). Até o momento, os ministros Gilmar Mendes, relator, Luís Roberto Barroso e Cármen Lúcia […]",20/04/2023 22:30
economia,BC/Aragão: Há feliz coincidência de aprimoramento de SML e interesse em integração do Mercosul,"O chefe Adjunto do Departamento de Assuntos Internacionais do Banco Central, Marcelo Aragão, afirmou que é uma feliz coincidência o aprimoramento realizado no Sistema de Pagamentos em Moeda Local (SML) e o desejo do governo Lula de aumentar a integração com o Mercosul. Ele disse que “até o momento” não chegou nenhum pedido do Palácio […]",20/04/2023 21:56
economia,BC/Pereira: Medida de derivativos de crédito é parte de ação maior para desenvolver crédito,"O chefe do Departamento de Regulação do Sistema Financeiro Nacional do Banco Central, João André Pereira, afirmou que as alterações nas regras de derivativos de crédito aprovadas pelo Conselho Monetário Nacional (CMN) nesta quinta-feira, 20, fazem parte do “movimento maior” do governo para desenvolver o mercado de crédito. “Essa medida não estava relacionada no pacote […]",20/04/2023 21:47
economia,CMN reformula regras de operações de derivativos de créditos por instituições financeiras,"O Conselho Monetário Nacional (CMN) decidiu, em reunião ordinária nesta quinta-feira, 20, reformular as regras que disciplinam a realização de operações de derivativos de crédito por instituições financeiras e demais instituições autorizadas a funcionar pelo Banco Central. Segundo o BC, a mudança busca adaptar a regulamentação brasileira às inúmeras transformações pelas quais passou esse mercado […]",20/04/2023 21:45
economia,CMN altera regras de sistema de pagamentos que permite trocas em moedas locais no Mercosul,"O Conselho Monetário Nacional (CMN) promoveu, em reunião ordinária nesta quinta-feira, 20, mudanças no Sistema de Pagamentos em Moeda Local (SML), que permite que transações entre empresas e pessoas do Mercosul (Brasil, Argentina, Paraguai e Uruguai) aconteçam nas respectivas moedas locais. Segundo o Banco Central, as alterações simplificam e uniformizam procedimentos do sistema e ampliam […]",20/04/2023 21:38
economia,Zelenskiy pede ajuda do México com plano de paz,"CIDADE DO MÉXICO (Reuters) – O presidente ucraniano, Volodymyr Zelenskiy, pediu nesta quinta-feira ao México que ajude a defender na América Latina seu plano de paz para a Ucrânia, mesmo com as tensões persistindo dentro do partido que governa o país sobre o oferecimento de apoio a Kiev. O governo do México disse que quer […]",20/04/2023 21:22
economia,"Reino Unido eleva cotas de importação de carne de aves do Brasil, diz ABPA","Por Nayara Figueiredo SÃO PAULO (Reuters) – O Reino Unido publicou nesta semana os volumes atualizados das cotas de carne de aves do Brasil, para embarque da proteína brasileira com tarifas diferenciadas, e aumentou a cota em 16,6 mil toneladas anuais para 96,5 mil, informou nesta quinta-feira a associação nacional do setor ABPA. Estas alterações […]",20/04/2023 21:21
economia,Voto de Barroso surpreendeu juristas ao não propor correção de valores passados do FGTS,"O voto do ministro Luís Roberto Barroso, relator da ação que discute a correção monetária do FGTS no Supremo Tribunal Federal (STF), causou surpresa em advogados que esperam algum tipo de modulação dos efeitos. Barroso defendeu que a remuneração do FGTS não deve ser menor que a da caderneta de poupança, e propôs que os […]",20/04/2023 20:55
economia,Petrobras fecha contrato para modernização e ampliação na refinaria Rnest,"Por Nayara Figueiredo SÃO PAULO (Reuters) – A Petrobras informou nesta quinta-feira que assinou contrato para ampliação e modernização de unidades já em operação na Refinaria Abreu e Lima (Rnest), em Pernambuco, com o objetivo de elevar a oferta de diesel ao país nos próximos anos, conforme comunicado. Após a conclusão das obras, esperada para […]",20/04/2023 20:31
economia,Grande explosão é reportada em cidade russa perto da fronteira com a Ucrânia,"(Reuters) – Uma grande explosão atingiu uma rua na cidade russa de Belgorod, que fica do outro lado da fronteira com a Ucrânia, na noite de quinta-feira, mas não houve relatos iniciais de feridos, disseram autoridades locais. O governador da região de Belgorod, Vyacheslav Gladkov, anunciou a imposição de estado de emergência e disse no […]",20/04/2023 20:19
economia,Grãos de Chicago fecham em baixa com dados de exportação mais fracos e clima favorável nos EUA,Por Cassandra Garrison (Reuters) – Os grãos de Chicago fecharam em baixa nesta quinta-feira com dados de vendas de exportação de soja dos EUA abaixo do esperado e clima favorável no país que permitiria a aceleração do plantio no cinturão agrícola do Meio-Oeste. Os preços dos grãos também foram impactados pela queda do petróleo bruto. […],20/04/2023 20:00
